degree distribution (probability density function of the degree in logarithmic bins) 
7.4257	0.179631
9.44776	0.0904749
11.4352	0.0489443
13.9262	0.0409737
16.901	0.024796
20.4008	0.0183528
24.9089	0.0122072
30.31	0.00760424
37.3107	0.00583777
45.5596	0.00338394

degree distribution (degree-occurrences) 
7	0.1569
8	0.1163
9	0.0925
10	0.075
11	0.0623
12	0.048
13	0.0404
14	0.0399
15	0.0321
16	0.0326
17	0.0258
18	0.0244
19	0.0201
20	0.0201
21	0.0188
22	0.0156
23	0.0124
24	0.0142
25	0.0117
26	0.0107
27	0.0114
28	0.0102
29	0.0065
30	0.0071
31	0.0093
32	0.0063
33	0.0064
34	0.0067
35	0.0062
36	0.0052
37	0.0045
38	0.0048
39	0.0047
40	0.006
41	0.0047
42	0.004
43	0.0045
44	0.0037
45	0.004
46	0.0032
47	0.0024
48	0.0026
49	0.0032
50	0.0026


--------------------------------------
community distribution (size-occurrences)
20	0.0454545
21	0.0519481
22	0.0649351
23	0.0357143
24	0.0487013
25	0.0487013
26	0.0422078
27	0.0324675
28	0.0454545
29	0.0194805
30	0.0227273
31	0.0292208
32	0.0357143
33	0.0357143
34	0.0324675
35	0.0227273
36	0.038961
37	0.0292208
38	0.0227273
39	0.0519481
40	0.0227273
41	0.0162338
42	0.0324675
43	0.0357143
44	0.0227273
45	0.0162338
46	0.025974
47	0.0194805
48	0.0292208
49	0.0162338
50	0.00649351


--------------------------------------
mixing parameter
0.285714	0.0006
0.333333	0.0006
0.363636	0.0001
0.375962	0.001
0.401471	0.0008
0.428526	0.0778
0.448607	0.0799
0.469012	0.0768
0.498778	0.4902
0.515451	0.0401
0.53097	0.0733
0.551631	0.0752
0.57149	0.0796
0.598039	0.0012
0.623802	0.0013
0.636364	0.0003
0.666667	0.0005
0.714286	0.0007

--------------------------------------
